abilities.0	abilities.1	abilities.2	abilities.3	abilities.4	abilities.5	description	evolution.0	evolution.1	evolution.2	evolution.3	gen	height	id	name	species	stats.attack	stats.defense	stats.hp	stats.sp.atk	stats.sp.def	stats.speed	stats.total	type.0	type.1	weight
Speed Boost	Infiltrator					Description not available yet					3	0.8m	291	Ninjask	Ninja Pokemon	90	45	61	50	50	160	456	Bug	Flying	12 kg
Wonder Guard						Description not available yet					3	0.8m	292	Shedinja	Shed Pokemon	90	45	1	30	30	40	236	Bug	Ghost	1.2 kg
Soundproof	Rattled					Description not available yet					3	0.6m	293	Whismur	Whisper Pokemon	51	23	64	51	23	28	240	Normal		16.3 kg
Soundproof	Scrappy					Description not available yet					3	1m	294	Loudred	Big Voice Pokemon	71	43	84	71	43	48	360	Normal		40.5 kg
Soundproof	Scrappy					Description not available yet					3	1.5m	295	Exploud	Loud Noise Pokemon	91	63	104	91	73	68	490	Normal		84 kg
Thick Fat	Guts	Sheer Force				Description not available yet					3	1m	296	Makuhita	Guts Pokemon	60	30	72	20	30	25	237	Fighting		86.4 kg
Thick Fat	Guts	Sheer Force				Description not available yet					3	2.3m	297	Hariyama	Arm Thrust Pokemon	120	60	144	40	60	50	474	Fighting		253.8 kg
Thick Fat	Huge Power	Sap Sipper				Description not available yet					3	0.2m	298	Azurill	Polka Dot Pokemon	20	40	50	20	40	20	190	Normal	Fairy	2 kg
Sturdy	Magnet Pull	Sand Force				Description not available yet					3	1m	299	Nosepass	Compass Pokemon	45	135	30	45	90	30	375	Rock		97 kg
Cute Charm	Normalize	Wonder Skin 				Description not available yet					3	0.6m	300	Skitty	Kitten Pokemon	45	45	50	35	35	50	260	Normal		11 kg
Cute Charm	Normalize	Wonder Skin 				Description not available yet					3	1.1m	301	Delcatty	Prim Pokemon	65	65	70	55	55	90	400	Normal		32.6 kg
Keen Eye	Stall	Prankster				Description not available yet					3	0.5m	302	Sableye	Darkness Pokemon	85	125	50	85	115	20	480	Dark	Ghost	11 kg
Hyper Cutter	Intimidate	Sheer Force				Description not available yet					3	0.6m	303	Mawile	Deceiver Pokemon	105	125	50	55	95	50	480	Steel	Fairy	11.5 kg
Sturdy	Rock Head	Heavy Metal				Description not available yet					3	0.4m	304	Aron	Iron Armor Pokemon	70	100	50	40	40	30	330	Steel	Rock	60 kg
Sturdy	Rock Head	Heavy Metal				Description not available yet					3	0.9m	305	Lairon	Iron Armor Pokemon	90	140	60	50	50	40	430	Steel	Rock	120 kg
Sturdy	Rock Head	Heavy Metal				Description not available yet					3	2.1m	306	Aggron	Iron Armor Pokemon	140	230	70	60	80	50	630	Steel	Rock	360 kg
Pure Power	Telepathy					Description not available yet					3	0.6m	307	Meditite	Meditate Pokemon	40	55	30	40	55	60	280	Fighting	Psychic	11.2 kg
Pure Power	Telepathy					Description not available yet					3	1.3m	308	Medicham	Meditate Pokemon	100	85	60	80	85	100	510	Fighting	Psychic	31.5 kg
Static	Lightningrod	Minus				Description not available yet					3	0.6m	309	Electrike	Lightning Pokemon	45	40	40	65	40	65	295	Electric		15.2 kg
Static	Lightningrod	Minus				Description not available yet					3	1.5m	310	Manectric	Discharge Pokemon	75	80	70	135	80	135	575	Electric		40.2 kg
Plus	Lightningrod					Description not available yet					3	0.4m	311	Plusle	Cheering Pokemon	50	40	60	85	75	95	405	Electric		4.2 kg
Minus	Volt Absorb					Description not available yet					3	0.4m	312	Minun	Cheering Pokemon	40	50	60	75	85	95	405	Electric		4.2 kg
Illuminate	Swarm	Prankster				Description not available yet					3	0.7m	313	Volbeat	Firefly Pokemon	73	75	65	47	85	85	430	Bug		17.7 kg
Oblivious	Tinted Lens	Prankster				Description not available yet					3	0.6m	314	Illumise	Firefly Pokemon	47	75	65	73	85	85	430	Bug		17.7 kg
Natural Cure	Poison Point	Leaf Guard				Description not available yet					3	0.3m	315	Roselia	Thorn Pokemon	60	45	50	100	80	65	400	Grass	Poison	2 kg
Liquid Ooze	Sticky Hold	Gluttony				Description not available yet					3	0.4m	316	Gulpin	Stomach Pokemon	43	53	70	43	53	40	302	Poison		10.3 kg
Liquid Ooze	Sticky Hold	Gluttony				Description not available yet					3	1.7m	317	Swalot	Poison Bag Pokemon	73	83	100	73	83	55	467	Poison		80 kg
Rough Skin	Speed Boost					Description not available yet					3	0.8m	318	Carvanha	Savage Pokemon	90	20	45	65	20	65	305	Water	Dark	20.8 kg
Rough Skin	Speed Boost					Description not available yet					3	1.8m	319	Sharpedo	Brutal Pokemon	140	70	70	110	65	105	560	Water	Dark	88.8 kg
Water Veil	Oblivious	Pressure				Description not available yet					3	2m	320	Wailmer	Ball Whale Pokemon	70	35	130	70	35	60	400	Water		130 kg
Water Veil	Oblivious	Pressure				Description not available yet					3	14.5m	321	Wailord	Float Whale Pokemon	90	45	170	90	45	60	500	Water		398 kg
Oblivious	Simple	Own Tempo				Description not available yet					3	0.7m	322	Numel	Numb Pokemon	60	40	60	65	45	35	305	Fire	Ground	24 kg
Magma Armor	Solid Rock	Anger Point				Description not available yet					3	1.9m	323	Camerupt	Eruption Pokemon	120	100	70	145	105	20	560	Fire	Ground	220 kg
White Smoke	Drought	Shell Armor				Description not available yet					3	0.5m	324	Torkoal	Coal Pokemon	85	140	70	85	70	20	470	Fire		80.4 kg
Thick Fat	Own Tempo	Gluttony				Description not available yet					3	0.7m	325	Spoink	Bounce Pokemon	25	35	60	70	80	60	330	Psychic		30.6 kg
Thick Fat	Own Tempo	Gluttony				Description not available yet					3	0.9m	326	Grumpig	Manipulate Pokemon	45	65	80	90	110	80	470	Psychic		71.5 kg
Own Tempo	Tangled Feet	Contrary				Description not available yet					3	1.1m	327	Spinda	Spot Panda Pokemon	60	60	60	60	60	60	360	Normal		5 kg
Hyper Cutter	Arena Trap	Sheer Force				Description not available yet					3	0.7m	328	Trapinch	Ant Pit Pokemon	100	45	45	45	45	10	290	Ground		15 kg
Levitate						Description not available yet					3	1.1m	329	Vibrava	Vibration Pokemon	70	50	50	50	50	70	340	Ground	Dragon	15.3 kg
Levitate						Description not available yet					3	2m	330	Flygon	Mystic Pokemon	100	80	80	80	80	100	520	Ground	Dragon	82 kg
Sand Veil	Water Absorb					Description not available yet					3	0.4m	331	Cacnea	Cactus Pokemon	85	40	50	85	40	35	335	Grass		51.3 kg
Sand Veil	Water Absorb					Description not available yet					3	1.3m	332	Cacturne	Scarecrow Pokemon	115	60	70	115	60	55	475	Grass	Dark	77.4 kg
Natural Cure	Cloud Nine					Description not available yet					3	0.4m	333	Swablu	Cotton Bird Pokemon	40	60	45	40	75	50	310	Normal	Flying	1.2 kg
Natural Cure	Cloud Nine					Description not available yet					3	1.1m	334	Altaria	Humming Pokemon	110	110	75	110	105	80	590	Dragon	Flying	20.6 kg
Immunity	Toxic Boost					Description not available yet					3	1.3m	335	Zangoose	Cat Ferret Pokemon	115	60	73	60	60	90	458	Normal		40.3 kg
Shed Skin	Infiltrator					Description not available yet					3	2.7m	336	Seviper	Fang Snake Pokemon	100	60	73	100	60	65	458	Poison		52.5 kg
Levitate						Description not available yet					3	1m	337	Lunatone	Meteorite Pokemon	55	65	90	95	85	70	460	Rock	Psychic	168 kg
Levitate						Description not available yet					3	1.2m	338	Solrock	Meteorite Pokemon	95	85	90	55	65	70	460	Rock	Psychic	154 kg
Oblivious	Anticipation	Hydration				Description not available yet					3	0.4m	339	Barboach	Whiskers Pokemon	48	43	50	46	41	60	288	Water	Ground	1.9 kg
Oblivious	Anticipation	Hydration				Description not available yet					3	0.9m	340	Whiscash	Whiskers Pokemon	78	73	110	76	71	60	468	Water	Ground	23.6 kg
Hyper Cutter	Shell Armor	Adaptability				Description not available yet					3	0.6m	341	Corphish	Ruffian Pokemon	80	65	43	50	35	35	308	Water		11.5 kg
Hyper Cutter	Shell Armor	Adaptability				Description not available yet					3	1.1m	342	Crawdaunt	Rogue Pokemon	120	85	63	90	55	55	468	Water	Dark	32.8 kg
Levitate						Description not available yet					3	0.5m	343	Baltoy	Clay Doll Pokemon	40	55	40	40	70	55	300	Ground	Psychic	21.5 kg
Levitate						Description not available yet					3	1.5m	344	Claydol	Clay Doll Pokemon	70	105	60	70	120	75	500	Ground	Psychic	108 kg
Suction Cups	Storm Drain					Description not available yet					3	1m	345	Lileep	Sea Lily Pokemon	41	77	66	61	87	23	355	Rock	Grass	23.8 kg
Suction Cups	Storm Drain					Description not available yet					3	1.5m	346	Cradily	Barnacle Pokemon	81	97	86	81	107	43	495	Rock	Grass	60.4 kg
Battle Armor	Swift Swim					Description not available yet					3	0.7m	347	Anorith	Old Shrimp Pokemon	95	50	45	40	50	75	355	Rock	Bug	12.5 kg
Battle Armor	Swift Swim					Description not available yet					3	1.5m	348	Armaldo	Plate Pokemon	125	100	75	70	80	45	495	Rock	Bug	68.2 kg
Swift Swim	Oblivious	Adaptability				Description not available yet					3	0.6m	349	Feebas	Fish Pokemon	15	20	20	10	55	80	200	Water		7.4 kg
Marvel Scale	Competitive	Cute Charm				Description not available yet					3	6.2m	350	Milotic	Tender Pokemon	60	79	95	100	125	81	540	Water		162 kg
Forecast						Description not available yet					3	0.3m	351	Castform	Weather Pokemon	70	70	70	70	70	70	420	Normal		0.8 kg
Color Change	Protean					Description not available yet					3	1m	352	Kecleon	Color Swap Pokemon	90	70	60	60	120	40	440	Normal		22 kg
Insomnia	Frisk	Cursed Body				Description not available yet					3	0.6m	353	Shuppet	Puppet Pokemon	75	35	44	63	33	45	295	Ghost		2.3 kg
Insomnia	Frisk	Cursed Body				Description not available yet					3	1.1m	354	Banette	Marionette Pokemon	165	75	64	93	83	75	555	Ghost		12.5 kg
Levitate	Frisk					Description not available yet					3	0.8m	355	Duskull	Requiem Pokemon	40	90	20	30	90	25	295	Ghost		15 kg
Pressure	Frisk					Description not available yet					3	1.6m	356	Dusclops	Beckon Pokemon	70	130	40	60	130	25	455	Ghost		30.6 kg
Chlorophyll	Solar Power	Harvest				Description not available yet					3	2m	357	Tropius	Fruit Pokemon	68	83	99	72	87	51	460	Grass	Flying	100 kg
Levitate						Description not available yet					3	0.6m	358	Chimecho	Wind Chime Pokemon	50	80	75	95	90	65	455	Psychic		1 kg
Pressure	Super Luck	Justified				Description not available yet					3	1.2m	359	Absol	Disaster Pokemon	150	60	65	115	60	115	565	Dark		47 kg
Shadow Tag	Telepathy					Description not available yet					3	0.6m	360	Wynaut	Bright Pokemon	23	48	95	23	48	23	260	Psychic		14 kg
Inner Focus	Ice Body	Moody				Description not available yet					3	0.7m	361	Snorunt	Snow Hat Pokemon	50	50	50	50	50	50	300	Ice		16.8 kg
Inner Focus	Ice Body	Moody				Description not available yet					3	1.5m	362	Glalie	Face Pokemon	120	80	80	120	80	100	580	Ice		256.5 kg
Thick Fat	Ice Body	Oblivious				Description not available yet					3	0.8m	363	Spheal	Clap Pokemon	40	50	70	55	50	25	290	Ice	Water	39.5 kg
Thick Fat	Ice Body	Oblivious				Description not available yet					3	1.1m	364	Sealeo	Ball Roll Pokemon	60	70	90	75	70	45	410	Ice	Water	87.6 kg
Thick Fat	Ice Body	Oblivious				Description not available yet					3	1.4m	365	Walrein	Ice Break Pokemon	80	90	110	95	90	65	530	Ice	Water	150.6 kg
Shell Armor	Rattled					Description not available yet					3	0.4m	366	Clamperl	Bivalve Pokemon	64	85	35	74	55	32	345	Water		52.5 kg
Swift Swim	Water Veil					Description not available yet					3	1.7m	367	Huntail	Deep Sea Pokemon	104	105	55	94	75	52	485	Water		27 kg
Swift Swim	Hydration					Description not available yet					3	1.8m	368	Gorebyss	South Sea Pokemon	84	105	55	114	75	52	485	Water		22.6 kg
Swift Swim	Rock Head	Sturdy				Description not available yet					3	1m	369	Relicanth	Longevity Pokemon	90	130	100	45	65	55	485	Water	Rock	23.4 kg
Swift Swim	Hydration					Description not available yet					3	0.6m	370	Luvdisc	Rendezvous Pokemon	30	55	43	40	65	97	330	Water		8.7 kg
Rock Head	Sheer Force					Description not available yet					3	0.6m	371	Bagon	Rock Head Pokemon	75	60	45	40	30	50	300	Dragon		42.1 kg
Rock Head	Overcoat					Description not available yet					3	1.1m	372	Shelgon	Endurance Pokemon	95	100	65	60	50	50	420	Dragon		110.5 kg
Intimidate	Moxie					Description not available yet					3	1.5m	373	Salamence	Dragon Pokemon	145	130	95	120	90	120	700	Dragon	Flying	102.6 kg
Clear Body	Light Metal					Description not available yet					3	0.6m	374	Beldum	Iron Ball Pokemon	55	80	40	35	60	30	300	Steel	Psychic	95.2 kg
Clear Body	Light Metal					Description not available yet					3	1.2m	375	Metang	Iron Claw Pokemon	75	100	60	55	80	50	420	Steel	Psychic	202.5 kg
Clear Body	Light Metal					Description not available yet					3	1.6m	376	Metagross	Iron Leg Pokemon	145	150	80	105	110	110	700	Steel	Psychic	550 kg
Clear Body	Sturdy					Description not available yet					3	1.7m	377	Regirock	Rock Peak Pokemon	100	200	80	50	100	50	580	Rock		230 kg
Clear Body	Ice Body					Description not available yet					3	1.8m	378	Regice	Iceberg Pokemon	50	100	80	100	200	50	580	Ice		175 kg
Clear Body	Light Metal					Description not available yet					3	1.9m	379	Registeel	Iron Pokemon	75	150	80	75	150	50	580	Steel		205 kg
Levitate						Description not available yet					3	1.4m	380	Latias	Eon Pokemon	100	120	80	140	150	110	700	Dragon	Psychic	40 kg
Levitate						Description not available yet					3	2m	381	Latios	Eon Pokemon	130	100	80	160	120	110	700	Dragon	Psychic	60 kg
Drizzle						Description not available yet					3	4.5m	382	Kyogre	Sea Basin Pokemon	150	90	100	180	160	90	770	Water		352 kg
Drought						Description not available yet					3	3.5m	383	Groudon	Continent Pokemon	180	160	100	150	90	90	770	Ground		950 kg
Air Lock						Description not available yet					3	7m	384	Rayquaza	Sky High Pokemon	180	100	105	180	100	115	780	Dragon	Flying	206.5 kg
Serene Grace						Description not available yet					3	0.3m	385	Jirachi	Wish Pokemon	100	100	100	100	100	100	600	Steel	Psychic	1.1 kg
Pressure						Description not available yet					3	1.7m	386	Deoxys	DNA Pokemon	95	90	50	95	90	180	600	Psychic		60.8 kg
Overgrow	Shell Armor					Description not available yet					4	0.4m	387	Turtwig	Tiny Leaf Pokemon	68	64	55	45	55	31	318	Grass		10.2 kg
Overgrow	Shell Armor					Description not available yet					4	1.1m	388	Grotle	Grove Pokemon	89	85	75	55	65	36	405	Grass		97 kg
Overgrow	Shell Armor					Description not available yet					4	2.2m	389	Torterra	Continent Pokemon	109	105	95	75	85	56	525	Grass	Ground	310 kg
Blaze	Iron Fist					Description not available yet					4	0.5m	390	Chimchar	Chimp Pokemon	58	44	44	58	44	61	309	Fire		6.2 kg
Blaze	Iron Fist					Description not available yet					4	0.9m	391	Monferno	Playful Pokemon	78	52	64	78	52	81	405	Fire	Fighting	22 kg
Blaze	Iron Fist					Description not available yet					4	1.2m	392	Infernape	Flame Pokemon	104	71	76	104	71	108	534	Fire	Fighting	55 kg
Torrent	Defiant					Description not available yet					4	0.4m	393	Piplup	Penguin Pokemon	51	53	53	61	56	40	314	Water		5.2 kg
Torrent	Defiant					Description not available yet					4	0.8m	394	Prinplup	Penguin Pokemon	66	68	64	81	76	50	405	Water		23 kg
Torrent	Defiant					Description not available yet					4	1.7m	395	Empoleon	Emperor Pokemon	86	88	84	111	101	60	530	Water	Steel	84.5 kg
Keen Eye	Reckless					Description not available yet					4	0.3m	396	Starly	Starling Pokemon	55	30	40	30	30	60	245	Normal	Flying	2 kg
Intimidate	Reckless					Description not available yet					4	0.6m	397	Staravia	Starling Pokemon	75	50	55	40	40	80	340	Normal	Flying	15.5 kg
Intimidate	Reckless					Description not available yet					4	1.2m	398	Staraptor	Predator Pokemon	120	70	85	50	60	100	485	Normal	Flying	24.9 kg
Simple	Unaware	Moody				Description not available yet					4	0.5m	399	Bidoof	Plump Mouse Pokemon	45	40	59	35	40	31	250	Normal		20 kg
Simple	Unaware	Moody				Description not available yet					4	1m	400	Bibarel	Beaver Pokemon	85	60	79	55	60	71	410	Normal	Water	31.5 kg
Shed Skin	Run Away					Description not available yet					4	0.3m	401	Kricketot	Cricket Pokemon	25	41	37	25	41	25	194	Bug		2.2 kg
Swarm	Technician					Description not available yet					4	1m	402	Kricketune	Cricket Pokemon	85	51	77	55	51	65	384	Bug		25.5 kg
Rivalry	Intimidate	Guts				Description not available yet					4	0.5m	403	Shinx	Flash Pokemon	65	34	45	40	34	45	263	Electric		9.5 kg
Rivalry	Intimidate	Guts				Description not available yet					4	0.9m	404	Luxio	Spark Pokemon	85	49	60	60	49	60	363	Electric		30.5 kg
Rivalry	Intimidate	Guts				Description not available yet					4	1.4m	405	Luxray	Gleam Eyes Pokemon	120	79	80	95	79	70	523	Electric		42 kg
Natural Cure	Poison Point	Leaf Guard				Description not available yet					4	0.2m	406	Budew	Bud Pokemon	30	35	40	50	70	55	280	Grass	Poison	1.2 kg
Natural Cure	Poison Point	Technician				Description not available yet					4	0.9m	407	Roserade	Bouquet Pokemon	70	65	60	125	105	90	515	Grass	Poison	14.5 kg
Mold Breaker	Sheer Force					Description not available yet					4	0.9m	408	Cranidos	Head Butt Pokemon	125	40	67	30	30	58	350	Rock		31.5 kg
Mold Breaker	Sheer Force					Description not available yet					4	1.6m	409	Rampardos	Head Butt Pokemon	165	60	97	65	50	58	495	Rock		102.5 kg
Sturdy	Soundproof					Description not available yet					4	0.5m	410	Shieldon	Shield Pokemon	42	118	30	42	88	30	350	Rock	Steel	57 kg
Sturdy	Soundproof					Description not available yet					4	1.3m	411	Bastiodon	Shield Pokemon	52	168	60	47	138	30	495	Rock	Steel	149.5 kg
Shed Skin	Overcoat					Description not available yet					4	0.2m	412	Burmy	Bagworm Pokemon	29	45	40	29	45	36	224	Bug		3.4 kg
Anticipation	Overcoat					Description not available yet					4	0.5m	413	Wormadam	Bagworm Pokemon	69	95	60	69	95	36	424	Bug	Grass	6.5 kg
Swarm	Tinted Lens					Description not available yet					4	0.9m	414	Mothim	Moth Pokemon	94	50	70	94	50	66	424	Bug	Flying	23.3 kg
Honey Gather	Hustle					Description not available yet					4	0.3m	415	Combee	Tiny Bee Pokemon	30	42	30	30	42	70	244	Bug	Flying	5.5 kg
Pressure	Unnerve					Description not available yet					4	1.2m	416	Vespiquen	Beehive Pokemon	80	102	70	80	102	40	474	Bug	Flying	38.5 kg
Run Away	Pickup	Volt Absorb				Description not available yet					4	0.4m	417	Pachirisu	EleSquirrel Pokemon	45	70	60	45	90	95	405	Electric		3.9 kg
Swift Swim	Water Veil					Description not available yet					4	0.7m	418	Buizel	Sea Weasel Pokemon	65	35	55	60	30	85	330	Water		29.5 kg
Swift Swim	Water Veil					Description not available yet					4	1.1m	419	Floatzel	Sea Weasel Pokemon	105	55	85	85	50	115	495	Water		33.5 kg
Chlorophyll						Description not available yet					4	0.4m	420	Cherubi	Cherry Pokemon	35	45	45	62	53	35	275	Grass		3.3 kg
Flower Gift						Description not available yet					4	0.5m	421	Cherrim	Blossom Pokemon	60	70	70	87	78	85	450	Grass		9.3 kg
Sticky Hold	Storm Drain	Sand Force				Description not available yet					4	0.3m	422	Shellos	Sea Slug Pokemon	48	48	76	57	62	34	325	Water		6.3 kg
Sticky Hold	Storm Drain	Sand Force				Description not available yet					4	0.9m	423	Gastrodon	Sea Slug Pokemon	83	68	111	92	82	39	475	Water	Ground	29.9 kg
Technician	Pickup	Skill Link				Description not available yet					4	1.2m	424	Ambipom	Long Tail Pokemon	100	66	75	60	66	115	482	Normal		20.3 kg
Aftermath	Unburden	Flare Boost				Description not available yet					4	0.4m	425	Drifloon	Balloon Pokemon	50	34	90	60	44	70	348	Ghost	Flying	1.2 kg
Aftermath	Unburden	Flare Boost				Description not available yet					4	1.2m	426	Drifblim	Blimp Pokemon	80	44	150	90	54	80	498	Ghost	Flying	15 kg
Run Away	Klutz	Limber				Description not available yet					4	0.4m	427	Buneary	Rabbit Pokemon	66	44	55	44	56	85	350	Normal		5.5 kg
Cute Charm	Klutz	Limber				Description not available yet					4	1.2m	428	Lopunny	Rabbit Pokemon	136	94	65	54	96	135	580	Normal		33.3 kg
Levitate						Description not available yet					4	0.9m	429	Mismagius	Magical Pokemon	60	60	60	105	105	105	495	Ghost		4.4 kg
Insomnia	Super Luck	Moxie				Description not available yet					4	0.9m	430	Honchkrow	Big Boss Pokemon	125	52	100	105	52	71	505	Dark	Flying	27.3 kg
Limber	Own Tempo	Keen Eye				Description not available yet					4	0.5m	431	Glameow	Catty Pokemon	55	42	49	42	37	85	310	Normal		3.9 kg
Thick Fat	Own Tempo	Defiant				Description not available yet					4	1m	432	Purugly	Tiger Cat Pokemon	82	64	71	64	59	112	452	Normal		43.8 kg
Levitate						Description not available yet					4	0.2m	433	Chingling	Bell Pokemon	30	50	45	65	50	45	285	Psychic		0.6 kg
Stench	Aftermath	Keen Eye				Description not available yet					4	0.4m	434	Stunky	Skunk Pokemon	63	47	63	41	41	74	329	Poison	Dark	19.2 kg
Stench	Aftermath	Keen Eye				Description not available yet					4	1m	435	Skuntank	Skunk Pokemon	93	67	103	71	61	84	479	Poison	Dark	38 kg
Levitate	Heatproof	Heavy Metal				Description not available yet					4	0.5m	436	Bronzor	Bronze Pokemon	24	86	57	24	86	23	300	Steel	Psychic	60.5 kg
Levitate	Heatproof	Heavy Metal				Description not available yet					4	1.3m	437	Bronzong	Bronze Bell Pokemon	89	116	67	79	116	33	500	Steel	Psychic	187 kg
Sturdy	Rock Head	Rattled				Description not available yet					4	0.5m	438	Bonsly	Bonsai Pokemon	80	95	50	10	45	10	290	Rock		15 kg
Soundproof	Filter	Technician				Description not available yet					4	0.6m	439	Mime Jr.	Mime Pokemon	25	45	20	70	90	60	310	Psychic	Fairy	13 kg
Natural Cure	Serene Grace	Friend Guard				Description not available yet					4	0.6m	440	Happiny	Playhouse Pokemon	5	5	100	15	65	30	220	Normal		24.4 kg
Keen Eye	Tangled Feet	Big Pecks				Description not available yet					4	0.5m	441	Chatot	Music Note Pokemon	65	45	76	92	42	91	411	Normal	Flying	1.9 kg
Pressure	Infiltrator					Description not available yet					4	1m	442	Spiritomb	Forbidden Pokemon	92	108	50	92	108	35	485	Ghost	Dark	108 kg
Sand Veil	Rough Skin					Description not available yet					4	0.7m	443	Gible	Land Shark Pokemon	70	45	58	40	45	42	300	Dragon	Ground	20.5 kg
Sand Veil	Rough Skin					Description not available yet					4	1.4m	444	Gabite	Cave Pokemon	90	65	68	50	55	82	410	Dragon	Ground	56 kg
Sand Veil	Rough Skin					Description not available yet					4	1.9m	445	Garchomp	Mach Pokemon	170	115	108	120	95	92	700	Dragon	Ground	95 kg
Pickup	Thick Fat	Gluttony				Description not available yet					4	0.6m	446	Munchlax	Big Eater Pokemon	85	40	135	40	85	5	390	Normal		105 kg
Steadfast	Inner Focus	Prankster				Description not available yet					4	0.7m	447	Riolu	Emanation Pokemon	70	40	40	35	40	60	285	Fighting		20.2 kg
Steadfast	Inner Focus	Justified				Description not available yet					4	1.2m	448	Lucario	Aura Pokemon	145	88	70	140	70	112	625	Fighting	Steel	54 kg
Sand Stream	Sand Force					Description not available yet					4	0.8m	449	Hippopotas	Hippo Pokemon	72	78	68	38	42	32	330	Ground		49.5 kg
Sand Stream	Sand Force					Description not available yet					4	2m	450	Hippowdon	Heavyweight Pokemon	112	118	108	68	72	47	525	Ground		300 kg
Battle Armor	Sniper	Keen Eye				Description not available yet					4	0.8m	451	Skorupi	Scorpion Pokemon	50	90	40	30	55	65	330	Poison	Bug	12 kg
Battle Armor	Sniper	Keen Eye				Description not available yet					4	1.3m	452	Drapion	Ogre Scorp Pokemon	90	110	70	60	75	95	500	Poison	Dark	61.5 kg
Anticipation	Dry Skin	Poison Touch				Description not available yet					4	0.7m	453	Croagunk	Toxic Mouth Pokemon	61	40	48	61	40	50	300	Poison	Fighting	23 kg
Anticipation	Dry Skin	Poison Touch				Description not available yet					4	1.3m	454	Toxicroak	Toxic Mouth Pokemon	106	65	83	86	65	85	490	Poison	Fighting	44.4 kg
Levitate						Description not available yet					4	1.4m	455	Carnivine	Bug Catcher Pokemon	100	72	74	90	72	46	454	Grass		27 kg
Swift Swim	Storm Drain	Water Veil				Description not available yet					4	0.4m	456	Finneon	Wing Fish Pokemon	49	56	49	49	61	66	330	Water		7 kg
Swift Swim	Storm Drain	Water Veil				Description not available yet					4	1.2m	457	Lumineon	Neon Pokemon	69	76	69	69	86	91	460	Water		24 kg
Swift Swim	Water Absorb	Water Veil				Description not available yet					4	1m	458	Mantyke	Kite Pokemon	20	50	45	60	120	50	345	Water	Flying	65 kg
Snow Warning	Soundproof					Description not available yet					4	1m	459	Snover	Frosted Tree Pokemon	62	50	60	62	60	40	334	Grass	Ice	50.5 kg
Snow Warning	Soundproof					Description not available yet					4	2.2m	460	Abomasnow	Frosted Tree Pokemon	132	105	90	132	105	30	594	Grass	Ice	135.5 kg
Pressure	Pickpocket					Description not available yet					4	1.1m	461	Weavile	Sharp Claw Pokemon	120	65	70	45	85	125	510	Dark	Ice	34 kg
Magnet Pull	Sturdy	Analytic				Description not available yet					4	1.2m	462	Magnezone	Magnet Area Pokemon	70	115	70	130	90	60	535	Electric	Steel	180 kg
Own Tempo	Oblivious	Cloud Nine				Description not available yet					4	1.7m	463	Lickilicky	Licking Pokemon	85	95	110	80	95	50	515	Normal		140 kg
Lightningrod	Solid Rock	Reckless				Description not available yet					4	2.4m	464	Rhyperior	Drill Pokemon	140	130	115	55	55	40	535	Ground	Rock	282.8 kg
Chlorophyll	Leaf Guard	Regenerator				Description not available yet					4	2m	465	Tangrowth	Vine Pokemon	100	125	100	110	50	50	535	Grass		128.6 kg
Motor Drive	Vital Spirit					Description not available yet					4	1.8m	466	Electivire	Thunderbolt Pokemon	123	67	75	95	85	95	540	Electric		138.6 kg
Flame Body	Vital Spirit					Description not available yet					4	1.6m	467	Magmortar	Blast Pokemon	95	67	75	125	95	83	540	Fire		68 kg
Hustle	Serene Grace	Super Luck				Description not available yet					4	1.5m	468	Togekiss	Jubilee Pokemon	50	95	85	120	115	80	545	Fairy	Flying	38 kg
Speed Boost	Tinted Lens	Frisk				Description not available yet					4	1.9m	469	Yanmega	Ogre Darner Pokemon	76	86	86	116	56	95	515	Bug	Flying	51.5 kg
Leaf Guard	Chlorophyll					Description not available yet					4	1m	470	Leafeon	Verdant Pokemon	110	130	65	60	65	95	525	Grass		25.5 kg
Snow Cloak	Ice Body					Description not available yet					4	0.8m	471	Glaceon	Fresh Snow Pokemon	60	110	65	130	95	65	525	Ice		25.9 kg
Hyper Cutter	Sand Veil	Poison Heal				Description not available yet					4	2m	472	Gliscor	Fang Scorp Pokemon	95	125	75	45	75	95	510	Ground	Flying	42.5 kg
Oblivious	Snow Cloak	Thick Fat				Description not available yet					4	2.5m	473	Mamoswine	Twin Tusk Pokemon	130	80	110	70	60	80	530	Ice	Ground	291 kg
Adaptability	Download	Analytic				Description not available yet					4	0.9m	474	Porygon-Z	Virtual Pokemon	80	70	85	135	75	90	535	Normal		34 kg
Steadfast	Justified					Description not available yet					4	1.6m	475	Gallade	Blade Pokemon	165	95	68	65	115	110	618	Psychic	Fighting	52 kg
Sturdy	Magnet Pull	Sand Force				Description not available yet					4	1.4m	476	Probopass	Compass Pokemon	55	145	60	75	150	40	525	Rock	Steel	340 kg
Pressure	Frisk					Description not available yet					4	2.2m	477	Dusknoir	Gripper Pokemon	100	135	45	65	135	45	525	Ghost		106.6 kg
Snow Cloak	Cursed Body					Description not available yet					4	1.3m	478	Froslass	Snow Land Pokemon	80	70	70	80	70	110	480	Ice	Ghost	26.6 kg
Levitate						Description not available yet					4	0.3m	479	Rotom	Plasma Pokemon	65	107	50	105	107	86	520	Electric	Ghost	0.3 kg
Levitate						Description not available yet					4	0.3m	480	Uxie	Knowledge Pokemon	75	130	75	75	130	95	580	Psychic		0.3 kg
